Дата,Новость,Кавередж,Сессии,CTR,% удовлетворения,Ответивших,CTR опроса,Локаль,Тема,Номер,,,
"Dec 4, 2019",Phishing-Kampagne zielt auf Sparkassenkunden ab, 3 338, 1 853,55.51%,,,,DE,phishing,0001,,,
"Dec 5, 2019",SMS phishing campaign targets Paytm customers, 2 076,  489,23.55%,96%,  45,9.20%,EN,phishing,0002,phishin,breach,patch
"Dec 11, 2019",End-of-year refund scam targets taxpayers, 6 683,  857,12.82%,95%,  82,9.57%,EN,phishing,0003,40.83%,44.37%,46.52%
"Dec 13, 2019",Los clientes de Bankia reciben SMS fraudulentos para “activar” sus cuentas,  562,  250,44.48%,,,,SP,phishing,0004,,,
"Dec 18, 2019",Online retailer LightInTheBox customers’ data exposed online ,  545,  229,42.02%,,,,EN,data breach,0005,,,
"Dec 23, 2019",Atualize o aplicativo Twitter para Android, 1 131,  621,54.91%,,,,PT,security update,0006,,,
"Dec 23, 2019",Update your Twitter app for Android, 2 734, 1 294,47.33%,,,,EN,security update,0007,,,
"Dec 24, 2019",Android için Twitter uygulamanızı güncelleyin,  134,  66,49.25%,,,,TR,security update,0008,,,
"Dec 24, 2019",Обновите Twitter для Android,  480,  180,37.50%,,,,RU,security update,0009,,,
"Jan 9, 2020",Update Firefox promptly, 33 043, 15 037,45.51%,,,,EN,security update,0010,,,
"Jan 10, 2020",Actualiza Firefox de inmediato, 14 839, 6 397,43.11%,,,,SP,security update,0011,,,
"Jan 10, 2020",Aggiorna subito Firefox, 4 143, 2 564,61.89%,,,,IT,security update,0012,,,
"Jan 10, 2020",Atualize o Firefox agora mesmo, 21 976, 8 634,39.29%,,,,PT,security update,0013,,,
"Jan 10, 2020",Firefox sofort aktualisieren, 6 308, 4 830,76.57%,,,,DE,security update,0014,,,
"Jan 10, 2020",Firefox’u Derhal Güncelleyin, 1 288,  568,44.10%,,,,TR,security update,0015,,,
"Jan 10, 2020",Mettez à jour Firefox sans attendre, 6 847, 3 874,56.58%,,,,FR,security update,0016,,,
"Jan 10, 2020",Обновите Firefox как можно скорее, 1 531,  868,56.69%,,,,RU,security update,0017,,,
"Jan 15, 2020",Aggiorna Windows 7 sul tuo PC, 3 412, 2 209,64.74%,,,,IT,security update,0018,,,
"Jan 15, 2020",Atualize o Windows 7 no seu computador, 32 776, 12 948,39.50%,,,,PT,security update,0019,,,
"Jan 15, 2020",Mettez à niveau votre système d’exploitation Windows 7, 4 086, 2 389,58.47%,,,,FR,security update,0020,,,
"Jan 15, 2020",PC’nizde Windows 7’yi güncelleyin, 3 981, 1 336,33.56%,,,,TR,security update,0021,,,
"Jan 15, 2020",PCs mit Windows 7 unbedingt aktualisieren, 1 624,-  1,-0.06%,,,,DE,security update,0022,,,
"Jan 15, 2020",Update Windows 7 on your PC, 36 265, 14 053,38.75%,,,,EN,security update,0023,,,
"Jan 15, 2020",Upgrade Windows 7 on your PC,  46,  49,106.52%,,,,FI,security update,0024,,,
"Jan 15, 2020",Upgrade Windows 7 on your PC,  22,  19,86.36%,,,,NO,security update,0025,,,
"Jan 15, 2020",Upgrade Windows 7 on your PC,  184,  153,83.15%,,,,SE,security update,0026,,,
"Jan 15, 2020",Upgrade Windows 7 on your PC,  57,  34,59.65%,,,,DK,security update,0027,,,
"Jan 15, 2020",Перейдите с Windows 7 на более современную систему, 3 235, 1 791,55.36%,,,,RU,security update,0028,,,
"Jan 21, 2020",Aktualizujte operační systém Windows 7 na svém PC,  30,  30,100.00%,,,,CZ,security update,0029,,,
"Jan 21, 2020",Phishing alert for Rabobank customers,  218,  147,67.43%,,,,EN,phishing,0030,,,
"Jan 23, 2020",Beware of phishing attempts on behalf of the Tax Department, 1 465,  232,15.84%,,,,EN,phishing,0031,,,
"Jan 28, 2020",Update Zoom app to prevent unwanted guests on your video calls,  618,  189,30.58%,,,,EN,security update,0032,,,
"Jan 29, 2020",Actualiza Zoom y evita a los intrusos en tus videollamadas,  212,  95,44.81%,,,,SP,security update,0033,,,
"Jan 29, 2020",Atualize o Zoom para evitar visitas indesejadas nas videochamadas,  216,  82,37.96%,,,,PT,phishing,0034,,,
"Feb 5, 2020",Phishing-Attacke auf Advanzia-Kunden,  157,  138,87.90%,,,,DE,phishing,0035,,,
"Feb 6, 2020",Your Android device might be vulnerable to attack, 8 907, 4 986,55.98%,97%,  635,12.74%,EN,security update,0036,,,
"Feb 7, 2020",Android cihazınız saldırılara karşı savunmasız olabilir,  265,  152,57.36%,,,,TR,security update,0037,,,
"Feb 7, 2020",Ihr Android-Gerät könnte anfällig für Angriffe sein, 3 521, 2 623,74.50%,,,,DE,security update,0038,,,
"Feb 7, 2020",Il tuo dispositivo Android potrebbe essere vulnerabile ad attacchi,  617,  440,71.31%,,,,IT,security update,0039,,,
"Feb 7, 2020",Seu dispositivo Android pode estar suscetível a ataques, 4 082,-  1,-0.02%,,,,PT,security update,0040,,,
