,title,date,URL,summary,topic
0,"New CrossTalk attack impacts Intel's mobile, desktop, and server CPUs","Tue, 09 Jun 2020 19:27:18 +0000",https://www.zdnet.com/article/new-crosstalk-attack-impacts-intels-mobile-desktop-and-server-cpus/#ftag=RSSbaffb68,Academics detail a new vulnerability named CrossTalk that can be used to leak data across Intel CPU cores.,data issues
1,Microsoft June 2020 Patch Tuesday fixes 129 vulnerabilities,"Tue, 09 Jun 2020 17:43:00 +0000",https://www.zdnet.com/article/microsoft-june-2020-patch-tuesday-fixes-129-vulnerabilities/#ftag=RSSbaffb68,This month's updates have started rolling out earlier today.,other
2,Cloud computing overload: How many apps is too many?,"Tue, 09 Jun 2020 15:28:00 +0000",https://www.zdnet.com/article/cloud-computing-overload-one-in-three-firms-now-have-50-plus-apps-to-manage/#ftag=RSSbaffb68,"As the use of cloud apps increases, security is lagging behind.",other
3,Honda confirms its network has been hit by cyber attack,"Tue, 09 Jun 2020 14:50:18 +0000",https://www.zdnet.com/article/honda-confirms-its-network-has-been-hit-by-cyber-attack/#ftag=RSSbaffb68,"Japanese manufacturer confirms it has been the victim of a cyber attack, said it is working to 'restore full functionality of production'.",other
4,KingMiner botnet brute-forces MSSQL databases to install cryptocurrency miner,"Tue, 09 Jun 2020 13:00:11 +0000",https://www.zdnet.com/article/kingminer-botnet-brute-forces-mssql-databases-to-install-cryptocurrency-miner/#ftag=RSSbaffb68,"The KingMiner gang is brute-forcing the ""sa"" user, the highest-privileged account on a MSSQL database.",data issues
5,"Single point of control, database security as a service: jSonar gets $50 million funding from Goldman Sachs","Tue, 09 Jun 2020 13:00:00 +0000",https://www.zdnet.com/article/single-point-of-control-database-security-as-a-service-jsonar-gets-50-million-funding-from-goldman-sachs/#ftag=RSSbaffb68,Why would Goldman Sachs invest a hefty amount into a previously little known company working on something unsexy like database security?,data issues
6,Malicious Android apps deactivated fraud code to bypass Google's security scans,"Tue, 09 Jun 2020 12:46:26 +0000",https://www.zdnet.com/article/malicious-android-apps-deactivated-fraud-code-to-bypass-googles-security-scans/#ftag=RSSbaffb68,Trick didn't work. Google banned them anyway.,other
7,Phishing: Why remote working is making it harder for you to spot phoney emails,"Tue, 09 Jun 2020 11:45:00 +0000",https://www.zdnet.com/article/phishing-why-remote-working-is-making-it-harder-for-you-to-spot-phoney-emails/#ftag=RSSbaffb68,The threat of phishing and other email attacks continues to rise - so why aren't businesses training employees to recognise attacks?,phishing
8,Huawei hits back as UK takes another look at 5G role,"Tue, 09 Jun 2020 10:14:26 +0000",https://www.zdnet.com/article/huawei-hits-back-as-uk-takes-another-look-at-5g-role/#ftag=RSSbaffb68,"As the UK ponders Huawei's role in 5G projects again, the firm says its wants to support the country's gigabit broadband plans.",other
9,ASIO boss calls for law enforcement cooperation from tech giants,"Tue, 09 Jun 2020 05:09:53 +0000",https://www.zdnet.com/article/asio-boss-calls-for-law-enforcement-cooperation-from-tech-giants/#ftag=RSSbaffb68,"With appropriate warrants in place, Director-General of Security Mike Burgess said law enforcement or ASIO should be able to get access to private communications.",other
10,IBM announces exit of facial recognition business,"Tue, 09 Jun 2020 01:09:33 +0000",https://www.zdnet.com/article/ibm-announces-exit-of-facial-recognition-business/#ftag=RSSbaffb68,Big Blue fears the technology could be used to promote racial discrimination.,other
11,Data61's seL4 security enforcement now available to the RISC-V ecosystem,"Tue, 09 Jun 2020 00:38:58 +0000",https://www.zdnet.com/article/data61s-sel4-security-enforcement-now-available-to-the-risc-v-ecosystem/#ftag=RSSbaffb68,CSIRO has announced the completion of the proof of implementation correctness of the open-source seL4 microkernel for the RISC-V ISA.,other
12,CallStranger vulnerability lets attacks bypass security systems and scan LANs,"Mon, 08 Jun 2020 19:51:00 +0000",https://www.zdnet.com/article/callstranger-vulnerability-lets-attacks-bypass-security-systems-and-scan-lans/#ftag=RSSbaffb68,The CallStranger vulnerability can also be used to launch major DDoS attacks.,vulnerabilities
13,Singapore looks to ease privacy fears with 'no internet' wearable device,"Mon, 08 Jun 2020 17:37:00 +0000",https://www.zdnet.com/article/singapore-looks-to-ease-privacy-fears-with-no-internet-wearable-device/#ftag=RSSbaffb68,"Slated to be ready for rollout later this month, wearable devices the country is developing for COVID-19 contact tracing will not have GPS, internet, or cellular connectivity, so data can only be extracted when the device is physically handed over to the Healthy Ministry.",data issues
14,Bot or Not tests if you know you are talking to a human or machine,"Mon, 08 Jun 2020 15:20:36 +0000",https://www.zdnet.com/article/bot-or-not-tests-if-you-know-you-are-talking-to-a-human-or-machine/#ftag=RSSbaffb68,Can you tell a human from a bot when you are using instant messaging?,other
15,Privacy browser Brave busted for autocompleting URLs to versions it profits from,"Mon, 08 Jun 2020 14:19:00 +0000",https://www.zdnet.com/article/privacy-browser-brave-busted-for-autocompleting-urls-to-versions-it-profits-from/#ftag=RSSbaffb68,Chromium-based Brave stumbles in its efforts to shake up the browser business with cryptocurrency and privacy.,other
16,Vulnerabilities in popular open source projects doubled in 2019,"Mon, 08 Jun 2020 13:00:00 +0000",https://www.zdnet.com/article/vulnerabilities-in-popular-open-source-projects-doubled-in-2019/#ftag=RSSbaffb68,Jenkins and MySQL vulnerabilities have had the most weaponized vulnerabilities in the past five years.,other
17,APAC employees not fully secure to work from home,"Mon, 08 Jun 2020 02:00:00 +0000",https://www.zdnet.com/article/apac-employees-not-fully-secure-to-work-from-home/#ftag=RSSbaffb68,"More than half of employees across four Asia-Pacific markets are using their personal devices to perform work tasks while working from home, even as they believe these devices are not fully secure against advanced security threats.",other
18,Singapore's move to introduce wearable devices for contact tracing sparks public outcry,"Sun, 07 Jun 2020 09:26:00 +0000",https://www.zdnet.com/article/singapores-move-to-introduce-wearable-devices-for-contact-tracing-sparks-public-outcry/#ftag=RSSbaffb68,"Online petition urging the public to reject the use of wearable devices for COVID-19 contact tracing has garnered more than 17,500 signatures, as concerned Singapore residents highlight the potential deployment as too intrusive and a breach of their privacy.",other
19,Apple publishes free resources to improve password security,"Sat, 06 Jun 2020 00:56:51 +0000",https://www.zdnet.com/article/apple-publishes-free-resources-to-improve-password-security/#ftag=RSSbaffb68,The new tools are meant to help the developers of password managers and Apple hopes the tools will reduce the instances where users chose their own password rather than rely on the password manager.,other
20,KR: Viva Republica in hot water over alleged security breach,"Tue, 09 Jun 2020 10:47:50 +0000",https://www.databreaches.net/kr-viva-republica-in-hot-water-over-alleged-security-breach/,"Kim Young-won reports: Viva Republica, which runs money transfer platform Toss, has been a target of alleged hacking attempts, raising alarm over its security system. According to the fintech firm, a total of eight unauthorized purchases, worth 9.4 million won ($7,853) were made on June 3 at three online websites via Toss without permission of the account owners. Personal data, such as names, phone numbers, birth dates, and PIN numbers, have been utilized in the alleged hacking theft. Read more on The Investor.",data issues
21,(UPDATED) AL: Florence city computer systems hit by cyber attack,"Tue, 09 Jun 2020 10:47:45 +0000",https://www.databreaches.net/al-florence-city-computer-systems-hit-by-cyber-attack/,"Update:  After you read the news report below, do read Brian Krebs’ report on how he had warned them that DoppelPaymer operators had compromised one of their Windows 10 systems. The city thought it dodged the bullet after responding to his alert. They hadn’t. WAFF in Alabama reports: The city of Florence confirms its computer systems were compromised on June 5. The cyber attack interrupted email accounts and operation of server functions. Public safety operations remain functional and have access to communications. Read more on WAFF.",other
22,Honda probes suspected cyberattack after factories hit by network glitch,"Tue, 09 Jun 2020 10:47:41 +0000",https://www.databreaches.net/honda-probes-suspected-cyberattack-after-factories-hit-by-network-glitch/,"Kyodo News reports: Honda Motor Co. on Tuesday continued to restrict its employees from using work computers following an internal network glitch that could be due to a cyberattack, a company official said. While the network glitch will not affect domestic output and sales, Honda is confirming whether the problem has impacted operations at its overseas factories, the officials said. Read more on The Japan Times. Early reports indicated that it might be EKANS malware.",other
23,Phishing Attack Hits German Coronavirus Task Force,"Tue, 09 Jun 2020 10:47:37 +0000",https://www.databreaches.net/phishing-attack-hits-german-coronavirus-task-force/,Lindsey O’Donnell reports: Researchers are warning of an ongoing phishing attack that’s targeting the credentials of more than 100 high-profile executives at a German multinational corporation that’s tasked with procuring coronavirus medical gear for Germany. Read more on ThreatPost.,phishing
24,PA: Everett & Hurite Ophthalmic Association discloses breach involving protected health information,"Mon, 08 Jun 2020 18:04:17 +0000",https://www.databreaches.net/pa-everett-hurite-ophthalmic-association-discloses-breach-involving-protected-health-information/,"From Everett & Hurite Ophthalmic Association, this breach notification: Everett & Hurite Ophthalmic Association (“EHOA”) is posting the following statement to inform our patients of a recent event that could potentially affect the security of certain information. EHOA takes this incident very seriously and we regret any inconvenience or concern this incident may cause. What Happened? On March 23, 2020, EHOA became aware of unusual activity related to an employee email account. EHOA immediately took steps to prevent potential unauthorized access by changing passwords and beginning an investigation with the assistance of third-party forensic specialists. Through this investigation, EHOA determined that a single employee email account was accessed without authorization between February 25, 2020 and March 25, 2020. While the investigation did not determine that specific information within the account was actually viewed by an unauthorized party, EHOA engaged in a comprehensive review of the email account to identify any personal and health information that could have been accessible in the account during this time. Through this process, EHOA determined that personal and health information was present in the email account at the time of the incident. To date, EHOA is unaware of any actual or attempted misuse of this information as a result of this incident. What Information Was Involved? The investigation determined that at the time of the incident the email account contained patient data, the majority of which was limited to first and last names contained on an internal report for purposes of reporting to the Centers for Medicaid and Medicare Service (CMS). Certain individuals may have had other additional health information contained in the email account including, date of birth, financial information, health insurance information, Social Security number, medical information, and treatment information. Read their full notification here. The incident was reported to HHS as impacting 34,113 patients.",data issues
25,"Bug in Whatsapp, phone number of crores of users leaks","Mon, 08 Jun 2020 11:30:51 +0000",https://www.databreaches.net/bug-in-whatsapp-phone-number-of-crores-of-users-leaks/,"Harshita Jain reports: If you use WhatsApp for messaging, then this news is for you. The bug has been found on WhatsApp’s platform, due to which phone numbers of crores of users have been published on Google. This information was obtained from the official blog post of Cyber Company security expert Atul Jayaram. According to the information given in this post, mobile numbers of 29,000 to 30,000 users are appearing in text format on Google due to the bug in WhatsApp. Read more on NewsTrackLive.",other
26,NY: Council Demands Investigation Into NYPD Privacy Breach,"Mon, 08 Jun 2020 11:30:46 +0000",https://www.databreaches.net/ny-council-demands-investigation-into-nypd-privacy-breach/,"Brigid Bergin reports: The City Council wants investigations into recent privacy breaches from the NYPD, including the release last weekend of the arrest record of Chiara de Blasio, the mayor’s daughter. City Council Speaker Corey Johnson and Council member Ritchie Torres made the request to both the city’s Department of Investigation and the Conflicts of Interest Board. Torres says the Council believes there are two guilty parties. “Those who committed the privacy breach are in violation of the City Charter, and those who knew of the privacy breach but said nothing are in violation of Executive Order 16 which requires public servants to report illegal conduct to the Department of Investigation.” Read more on WNYC. So there’s no misuse of a government database issue? I would think there *is* one, but maybe the council isn’t the entity to charge that one?",data issues
27,"Details of COVID-19 patients leaked in Tiruvarur, patient gets calls from strangers","Mon, 08 Jun 2020 11:04:07 +0000",https://www.databreaches.net/details-of-covid-19-patients-leaked-in-tiruvarur-patient-gets-calls-from-strangers/,"Megha Kaveri reports: In a shocking instance of breach of privacy, names, addresses and contact numbers of at least two COVID-19 patients who are currently being treated at the Thiruvarur Medical College and Hospital were circulated on social media apps. One of the patients has been receiving calls from strangers inquiring about his well-being, this breach of privacy has also led to his family being discriminated against by their neighbours. […] Abdul then realised that his number was circulating on many groups and it seemed to have been leaked from government records. Read more on The News Minute.",other
28,"PH: San Beda student portal hacked, personal data of thousands stolen","Mon, 08 Jun 2020 11:04:01 +0000",https://www.databreaches.net/ph-san-beda-student-portal-hacked-personal-data-of-thousands-stolen/,"Rambo Talabong reports: A still unidentified hacker has infiltrated the online student portal of San Beda University (SBU), gaining access to personal information and social media passwords of thousands of students and apparently releasing them online. “We discovered an incident where your email address and password, as used in the student portal was accessed by an unknown entity, purporting to be a hacker, and illegally released the same publicly via social media platform Twitter,” SBU said in a statement to its community on Saturday, June 6. Read more on Rappler. Update:  In what seems to be related news, Cebu Daily News reports: The University of the Philippines Cebu (UP Cebu) assured its students and alumni that no sensitive and personal information was leaked after hackers reportedly broke into its evaluation system. UP Cebu Chancellor Liza Corro also clarified that the university’s student database system, called Student Academic Information System (SAIS), was not breached. Reports of personal data among UP Cebu students being leaked came hours after suspicious “dummy” accounts bearing names of several of the university’s students and alumni surfaced last Sunday, a development that has also affected netizens not affiliated with UP.",data issues
29,UK: Fears patient files at Hockley GP surgery hacked – urgent probe launched,"Mon, 08 Jun 2020 11:03:50 +0000",https://www.databreaches.net/uk-fears-patient-files-at-hockley-gp-surgery-hacked-urgent-probe-launched/,"Mike Lockley reports: Thousands of alerts have been sent to patients at a leading GPs’ practice amid fears their medical records have been hacked. Staff at Hockley Medical Practice, based in the Jewellery Quarter, have acted swiftly after being made aware of the possible cyber attack. The surgery has 8,839 patients. A text message has been sent to all adults on its books. Read more on BirminghamLive.  I think patients need to take this one very seriously, as one patient reported receiving a communication that sounds like an attempt to get the patient to click on a link that would compromise their information or their network: One patient received an urgent email purporting to be from the NHS. It included personal details and even referred to his bid to join the army. He was told to click on a link for further action immediately.",other
30,Microsoft June Patch Tuesday Fixes 129 Flaws in Largest-Ever Update,"Tue, 09 Jun 2020 19:28:54 +0000",https://threatpost.com/microsoft-june-patch-tuesday-largest-ever-update/156430/,The June Patch Tuesday update included CVEs for 11 critical remote code-execution vulnerabilities and concerning SMB bugs.,other
31,Espionage Group Hits U.S. Utilities with Sophisticated Spy Tool,"Tue, 09 Jun 2020 17:09:32 +0000",https://threatpost.com/espionage-group-utilities-spy-tool/156425/,The FlowCloud modular remote-access trojan (RAT) has overlaps with the LookBack malware.,other
32,"Adobe Warns of Critical Flaws in Flash Player, Framemaker","Tue, 09 Jun 2020 15:27:28 +0000",https://threatpost.com/adobe-warns-critical-flaws-flash-player-framemaker/156417/,Critical Adobe Flash Player and Framemaker flaws could enable arbitrary code execution.,other
33,Dark Basin Hack-For-Hire Group Targeted Thousands Over 7 Years,"Tue, 09 Jun 2020 14:17:31 +0000",https://threatpost.com/dark-basin-hack-hire-group/156407/,"Thousands of journalists, advocacy groups and politicians worldwide were targeted by Dark Basin.",other
34,Singapore’s Contact Tracing Wearable Causes Privacy Backlash,"Mon, 08 Jun 2020 20:57:42 +0000",https://threatpost.com/singapore-contact-tracing-wearable-privacy/156397/,"Thousands have signed a petition that underscores data privacy issues with Singapore's newly announced contact-tracing wearable, in development.",data issues
35,SMBGhost RCE Exploit Threatens Corporate Networks,"Mon, 08 Jun 2020 15:54:41 +0000",https://threatpost.com/smbghost-rce-exploit-corporate-networks/156391/,"The release of a PoC for the Windows flaw known as ""SMBGhost"" could set off cyberattack waves, CISA warned.",other
36,Phishing Attack Hits German Coronavirus Task Force,"Mon, 08 Jun 2020 15:16:43 +0000",https://threatpost.com/phishing-attack-german-coronavirus-task-force/156377/,"More than 100 executives at a multinational company that's part of a German task force for creating coronavirus protective gear, were targeted in an ongoing phishing attack.",phishing
37,Can Governments Defeat Nation-State Attacks on Critical Infrastructures?,"Mon, 08 Jun 2020 13:00:46 +0000",https://threatpost.com/can-governments-defeat-nation-state-attacks-on-critical-infrastructures/156338/,The one cyber risk that governments are much better at controlling than we are is insider threats. Governments have been dealing with people threats for centuries and have powerful tools at their disposal for such investigations.,other
38,FTC Slams Children’s App Developer for COPPA Violations,"Fri, 05 Jun 2020 18:38:16 +0000",https://threatpost.com/ftc-childrens-app-developer-coppa-violations/156355/,"Children's app developer HyperBeard must pay $150,000 after the FTC claimed it violated privacy laws.",other
39,"Electrolux, Others Conned Out of Big Money by BEC Scammer","Fri, 05 Jun 2020 17:37:30 +0000",https://threatpost.com/electrolux-conned-money-bec-scammer/156359/,Kenenty Hwan Kim has pleaded guilty to swindling the appliance giant and other companies in a set of elaborate schemes.,other
40,Passwords for work applications,"Tue, 09 Jun 2020 11:00:53 +0000",https://www.kaspersky.com/blog/password-security-smb/35836/,The abundance of work-related cloud tools and services calls for smart password handling.,other
41,Encrypting the encrypted: Zorab Trojan in STOP decryptor,"Mon, 08 Jun 2020 20:18:43 +0000",https://www.kaspersky.com/blog/fake-djvu-ransomware-decryptor/35824/,Cybercriminals are distributing ransomware disguised as a tool for decrypting files encrypted by the STOP Trojan.,other
42,Easy money pandemic: Welfare as bait,"Fri, 05 Jun 2020 10:57:19 +0000",https://www.kaspersky.com/blog/covid-compensation-spam/35747/,"As governments worldwide implement support measures for pandemic-hit citizens and businesses, online scammers strive to cash in.",other
43,Are collaboration tools secure?,"Thu, 04 Jun 2020 11:47:44 +0000",https://www.kaspersky.com/blog/collaboration-solutions/35740/,"Alongside their benefits, cloud solutions for file storage and document or project management can cause many problems.",other
44,"Transatlantic Cable podcast, episode 145","Wed, 03 Jun 2020 13:40:28 +0000",https://www.kaspersky.com/blog/transatlantic-cable-podcast-145/35731/,"Dave and Jeff discuss how to keep personal data safe while protesting, the kerfuffle around NHS coronavirus texts, and more.",data issues
45,Adaptive cybersecurity training,"Tue, 02 Jun 2020 09:46:03 +0000",https://www.kaspersky.com/blog/adaptive-learning-platform/35725/,How to find an individual approach for each employee without committing to a personal mentor for everyone.,other
46,How to keep track of little ones on the loose,"Mon, 01 Jun 2020 11:24:30 +0000",https://www.kaspersky.com/blog/kids-location-tracking/35716/,It's hard not to worry when you don't know where your child is. We explain how to pinpoint their location and save your nerves.,other
